EIF5A,HINT3,LILRA5,LILRA5,ARF6,ALYREF,SNX20,GM2A,CASP2,FCAR,MOB3A,HBD,LTF,HBG2///HBG1,ALAS2,BOD1L1,HBG2///HBG1,MALAT1,DEFA1B///DEFA3///DEFA1,SAMSN1,HBG2///HBG1,MALAT1,CLC,HBM,MALAT1,MALAT1,MIR6883///PER1,SLC25A37,MALAT1,IGHD,MALAT1,Outcome
1316.9,151.9,123.3,168.5,389.7,420.1,117.6,115.5,39.6,32.2,224.5,123.9,12.9,13.9,31.3,9.1,36.7,372.7,707.7,8.5,42.2,55.7,187.7,27.2,130.4,13.3,11.5,10.1,58.8,66.5,2008.1,0
309.4,534.5,164.3,215.8,364.6,349,90.6,152.8,41,54.3,155.6,53.6,11.5,87.7,10.4,10.4,100.4,604.7,138.3,50.2,103.7,64.2,201.9,27.1,208,17.5,77.4,9.9,89.1,9.5,2762.5,0
324.3,515.6,219.7,306.8,240.2,326.3,65.4,136.7,37.4,43.4,129.7,42.2,8.2,45.8,10.4,15.1,36.8,1492,163.9,36.6,58.1,123.8,86.5,24.1,250,19.6,87.4,5,89.1,42,3433.8,0
2976.9,370.5,127,181.4,473.4,389.4,91.4,95.2,39.6,14,147.6,13.6,86.9,12.8,6.3,8.4,9.1,893.8,348.1,11.3,12.2,64.8,25,12.9,165.6,19.9,32.1,7.8,71.6,38,2976.9,0
1158.7,422.7,224.4,242,409.7,385.2,84.4,101.7,49.7,28.4,140.3,56.5,7.7,67.6,8.7,10.3,46.9,703.9,296.9,12.4,57.8,88.7,89.9,19.2,194,22.4,35.7,9.5,78,161,2327.2,0
1380.7,526.3,108,160.7,387.2,456.9,87.8,124,48,14.8,230.3,36.4,7.7,41.3,8.9,8.4,28.9,277.2,81.1,15.6,50.2,37.6,15.1,13.1,106.9,12,33.5,10,40.5,323.1,1926.1,0
805.7,556.3,161.6,253.9,375.3,362.7,67.9,126.4,73.2,27.8,214.1,25.9,22.4,98.6,7.3,9.4,143.1,584.4,1465.5,28.7,94.8,76.8,75.1,15.4,181.4,14.4,83.2,6.8,76.6,93.1,2953.1,0
1119.8,465.8,85.3,117.7,334.4,346.4,72.1,115.1,41.9,18.6,199.3,27,9.1,63.8,8.1,8.8,38.9,500.5,34.8,17.2,59.6,46.8,136.4,25.6,147.5,10.9,41,7.4,69.5,243.3,2555.5,0
1996,461.1,179.3,202.3,389.9,661.5,82.1,96.1,56.2,11.9,166.7,35.3,7.7,90.1,8.8,9.5,82.3,375.1,25.6,10.5,94.2,76.8,58.6,22.8,151.3,17.1,32.7,5.2,56.1,60.4,1996,0
1150.9,462.3,174.8,240.5,474.2,485.5,89.3,129.4,101.4,64.6,154.9,36.2,10.9,217.1,8,12.1,266.3,456.9,115.5,13.1,237.2,95.2,521.6,25.8,153,20,48.8,6.3,101.3,13.7,2410.4,0
2297.2,469.5,304,374.2,386.1,422.1,87.9,127,62.4,38.8,179.3,263.5,8.5,244,53.9,8.4,176.4,520.1,183.6,8.6,184.3,43.8,39.2,42.9,133.4,23.1,7.9,9.8,59.4,65.4,2320.9,0
2227.2,593.2,125.5,180.9,292.2,366.7,71.4,87.6,64.7,38.2,83.9,16.8,7.1,24.6,5.3,11.8,17.3,1219.6,92.5,16.4,24.6,123.8,29.3,12.9,241.7,27.2,45.1,7,133.7,172.7,2830.4,0
705.4,286,119.3,144.8,329.8,326.4,37.2,28.6,25.5,31.5,88.4,35.4,23.2,38.7,9,9.3,39.1,837.1,1322.7,14.4,48.1,35.2,453.3,28.7,58,6.8,93.9,10,40.1,28,3209.2,0
1473.3,562,115.6,148.1,387.3,447.5,102.7,77.1,44.7,39.8,165.3,30.6,17.3,18.8,8.8,9.8,19.9,500.6,173.4,11.3,28,39.6,72.7,13.9,155.6,13.2,15.6,4.3,80.1,59.6,3111.6,0
1278.7,450.1,226.3,335.2,311.6,454.3,97.4,210.8,45.6,54.8,240.4,17.9,8,14.5,5.3,8.4,10,279.1,283.6,10.1,16.9,30,40.4,18.4,142.6,11.7,22.9,6.3,65,85.9,1841.7,0
30,30.9,17.4,17.3,40.3,52.1,14.2,11.8,7,6,37.8,1136.9,125.2,774.9,208.4,286.8,623.5,6997.4,4502.2,169.9,676.6,947.3,477.5,275.5,2101.2,254.7,401.5,157.1,1274.3,567.5,30099.3,1
26.8,27.7,21.1,17.6,49,102.4,10.2,9.9,6.9,6.2,37.4,754.4,143.1,611.8,203.8,268.6,361.7,7396.6,1218,105.7,654.2,619.8,633.2,246.8,1192.2,204.3,619.6,74.6,546.4,1733.3,25617.6,1
29.3,35,14.7,17.9,42.4,56.4,9.5,8.4,7.1,6.5,33.4,376.6,319.4,1227.9,202.4,280.1,334.8,4635.8,3061.9,129.4,666.7,310.1,500.2,273.1,1629.7,73,163.7,37.2,244,250.5,18543.2,1
